Title,Author Lastname,Autor Name,Genre,Subgenre
Fundamentals of Wavelets,Goswami,Jaideva,tech,signal processing
Data Smart,Foreman,John,tech,data science
God Created the Integers,Hawking,Stephen,tech,mathematics
Superfreakonomics,Dubner,Stephen,science,economics
Orientalism,Said,Edward,nonfiction,history
Nature of Statistical Learning Theory,Vapnik,Vladimir,tech,data science
Integration of the Indian States,Menon,V P,nonfiction,history
Drunkard's Walk,Mlodinow,Leonard,science,mathematics
Image Processing & Mathematical Morphology,Shih,Frank,tech,signal processing
How to Think Like Sherlock Holmes,Konnikova,Maria,nonfiction,psychology
Data Scientists at Work,Gutierrez,Sebastian,tech,data science
Slaughterhouse Five,Vonnegut,Kurt,fiction,classic
Birth of a Theorem,Villani,Cedric,science,mathematics
Structure & Interpretation of Computer Programs,Sussman,Gerald,tech,computer science
Age of Wrath,Eraly,Abraham,nonfiction,history
Trial,Kafka,Frank,fiction,classic
Statistical Decision Theory',Pratt,John,tech,data science
Data Mining Handbook,Nisbet,Robert,tech,data science
New Machiavelli,Wells,H. G.,fiction,novel
Physics & Philosophy,Heisenberg,Werner,philosophy,science
Making Software,Oram,Andy,tech,computer science'Reilly
Analysis - Vol I,Tao,Terence,tech,mathematics
Machine Learning for Hackers,Conway,Drew,tech,data science'Reilly
Signal and the Noise,Silver,Nate,tech,data science
Python for Data Analysis,McKinney,Wes,tech,data science'Reilly
Introduction to Algorithms,Cormen,Thomas,tech,computer science
Beautiful and the Damned,Deb,Siddhartha,nonfiction,history
Outsider,Camus,Albert,fiction,classic
Complete Sherlock Holmes - Vol I,Doyle,Arthur Conan,fiction,classic
Complete Sherlock Holmes - Vol II,Doyle,Arthur Conan,fiction,classic
Wealth of Nations,Smith,Adam,science,economics
Pillars of the Earth,Follett,Ken,fiction,novel
Tao of Physics,Capra,Fritjof,science,physics
Surely You're Joking Mr Feynman,Feynman,Richard,science,physics
Farewell to Arms,Hemingway,Ernest,fiction,classic
Veteran,Forsyth,Frederick,fiction,novel
